12:53:52 (host: shas0205, pid: 132843) matmul(matrix(83), matrix(87))
12:53:53 (host: shas0205, pid: 132843) matmul(matrix(83), matrix(88))
12:53:53 (host: shas0205, pid: 132843) matmul(matrix(83), matrix(89))
12:53:54 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(80))
12:53:54 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(81))
12:53:54 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(82))
12:53:55 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(83))
12:53:55 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(84))
12:53:56 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(85))
12:53:56 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(86))
12:53:56 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(87))
12:53:57 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(88))
12:53:57 (host: shas0205, pid: 132843) matmul(matrix(84), matrix(89))
12:53:57 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(80))
12:53:58 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(81))
12:53:58 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(82))
12:53:58 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(83))
12:53:59 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(84))
12:53:59 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(85))
12:53:59 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(86))
12:54:00 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(87))
12:54:00 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(88))
12:54:00 (host: shas0205, pid: 132843) matmul(matrix(85), matrix(89))
12:54:01 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(80))
12:54:01 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(81))
12:54:01 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(82))
12:54:02 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(83))
12:54:02 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(84))
12:54:02 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(85))
12:54:02 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(86))
12:54:02 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(87))
12:54:03 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(88))
12:54:03 (host: shas0205, pid: 132843) matmul(matrix(86), matrix(89))
12:54:03 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(80))
12:54:03 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(81))
12:54:04 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(82))
12:54:04 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(83))
12:54:04 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(84))
12:54:05 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(85))
12:54:05 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(86))
12:54:05 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(87))
12:54:06 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(88))
12:54:06 (host: shas0205, pid: 132843) matmul(matrix(87), matrix(89))
12:54:06 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(80))
12:54:06 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(81))
12:54:07 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(82))
12:54:07 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(83))
12:54:07 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(84))
12:54:07 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(85))
12:54:08 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(86))
12:54:08 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(87))
12:54:08 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(88))
12:54:08 (host: shas0205, pid: 132843) matmul(matrix(88), matrix(89))
12:54:09 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(80))
12:54:09 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(81))
12:54:09 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(82))
12:54:10 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(83))
12:54:10 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(84))
12:54:11 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(85))
12:54:11 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(86))
12:54:11 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(87))
12:54:12 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(88))
12:54:12 (host: shas0205, pid: 132843) matmul(matrix(89), matrix(89))
12:53:40 (host: shas0205, pid: 132840) matmul(matrix(50), matrix(50))
12:53:40 (host: shas0205, pid: 132840) matmul(matrix(50), matrix(51))
12:53:40 (host: shas0205, pid: 132840) matmul(matrix(50), matrix(52))
12:53:40 (host: shas0205, pid: 132840) matmul(matrix(50), matrix(53))
12:53:41 (host: shas0205, pid: 132840) matmul(matrix(50), matrix(54))
