15:19:11 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(58))
15:19:12 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(59))
15:19:12 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(50))
15:19:12 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(51))
15:19:13 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(52))
15:19:13 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(53))
15:19:13 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(54))
15:19:13 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(55))
15:19:14 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(56))
15:19:14 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(57))
15:19:14 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(58))
15:19:14 (host: shas0139, pid: 82316) matmul(matrix(51), matrix(59))
15:19:15 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(50))
15:19:15 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(51))
15:19:15 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(52))
15:19:15 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(53))
15:19:16 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(54))
15:19:16 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(55))
15:19:16 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(56))
15:19:16 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(57))
15:19:17 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(58))
15:19:17 (host: shas0139, pid: 82316) matmul(matrix(52), matrix(59))
15:19:17 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(50))
15:19:17 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(51))
15:19:18 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(52))
15:19:18 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(53))
15:19:18 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(54))
15:19:19 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(55))
15:19:19 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(56))
15:19:19 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(57))
15:19:19 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(58))
15:19:20 (host: shas0139, pid: 82316) matmul(matrix(53), matrix(59))
15:19:20 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(50))
15:19:20 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(51))
15:19:20 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(52))
15:19:21 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(53))
15:19:21 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(54))
15:19:21 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(55))
15:19:21 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(56))
15:19:22 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(57))
15:19:22 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(58))
15:19:22 (host: shas0139, pid: 82316) matmul(matrix(54), matrix(59))
15:19:22 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(50))
15:19:23 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(51))
15:19:23 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(52))
15:19:23 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(53))
15:19:23 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(54))
15:19:24 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(55))
15:19:24 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(56))
15:19:24 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(57))
15:19:24 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(58))
15:19:25 (host: shas0139, pid: 82316) matmul(matrix(55), matrix(59))
